Time,Weight,Unit,Comments
2020-05-18 08:34:00,76.0,kg,
2020-05-18 23:24:00,76.8,kg,
2020-05-19 07:33:00,76.3,kg,
2020-05-19 07:43:00,75.7,kg,
2020-05-19 23:32:00,76.4,kg,
2020-05-19 23:37:00,76.4,kg,
2020-05-19 23:39:00,76.4,kg,
2020-05-21 08:50:00,75.9,kg,
2020-05-21 09:06:00,75.1,kg,
2020-05-21 09:07:00,75.1,kg,
2020-05-21 23:47:00,75.9,kg,
2020-05-21 23:48:00,75.9,kg,
2020-05-21 23:52:00,75.6,kg,
2020-05-25 22:15:00,75.5,kg,
2020-05-26 08:11:00,74.5,kg,
2020-05-26 22:05:00,76.0,kg,
2020-05-26 23:27:00,75.6,kg,
2020-05-27 00:20:00,75.2,kg,
2020-05-27 08:42:00,74.9,kg,
2020-05-27 08:45:00,75.1,kg,
2020-05-27 22:27:00,74.6,kg,
2020-05-27 23:18:00,74.6,kg,
2020-05-27 23:19:00,74.6,kg,
2020-05-29 00:15:00,74.4,kg,
2020-05-29 08:48:00,73.8,kg,
2020-05-29 08:49:00,73.8,kg,
2020-06-01 22:12:00,75.5,kg,
2020-06-01 23:31:00,75.6,kg,
2020-06-02 06:09:00,75.3,kg,
2020-06-02 06:29:00,74.4,kg,
2020-06-02 06:30:00,74.4,kg,
2020-06-02 08:42:00,74.7,kg,
2020-06-03 02:36:00,74.1,kg,
2020-06-03 02:37:00,74.1,kg,
2020-06-03 02:48:00,73.7,kg,
2020-06-03 08:47:00,73.7,kg,
2020-06-03 23:19:00,74.4,kg,
2020-06-04 07:58:00,73.7,kg,
2020-06-04 09:01:00,73.5,kg,
2020-06-04 09:02:00,73.5,kg,
2020-06-04 22:48:00,73.9,kg,
2020-06-04 23:13:00,73.5,kg,
2020-06-04 23:14:00,73.5,kg,
2020-06-05 00:33:00,73.2,kg,
2020-06-05 05:55:00,73.2,kg,
2020-06-05 06:09:00,72.9,kg,
2020-06-05 06:56:00,72.6,kg,
2020-06-05 06:58:00,73.0,kg,
2020-06-05 21:32:00,73.0,kg,
2020-06-05 21:46:00,73.3,kg,
2020-06-06 01:04:00,73.3,kg,
2020-06-06 07:35:00,72.7,kg,
2020-06-08 21:03:17,73.6,kg,
2020-06-08 21:04:03,73.6,kg,
2020-06-08 23:56:49,73.4,kg,
2020-06-09 07:42:48,73.0,kg,
2020-06-09 08:59:44,73.1,kg,
2020-06-10 00:32:36,73.3,kg,
2020-06-10 07:32:46,72.6,kg,
2020-06-11 08:17:40,72.7,kg,
2020-06-11 22:39:39,72.8,kg,
2020-06-11 23:40:59,72.6,kg,
2020-06-11 23:41:14,72.6,kg,
2020-06-11 23:41:33,72.6,kg,
2020-06-12 07:47:07,72.1,kg,
2020-06-13 09:48:33,72.4,kg,
2020-06-16 09:07:29,72.2,kg,
2020-06-16 21:53:04,72.4,kg,
2020-06-16 21:53:22,72.4,kg,
2020-06-17 07:18:46,72.2,kg,
2020-06-17 08:24:13,72.0,kg,
2020-06-18 07:31:10,71.8,kg,
2020-06-18 07:31:40,71.8,kg,
2020-06-19 00:11:50,72.1,kg,
2020-06-19 05:12:52,71.9,kg,
2020-06-19 08:47:39,71.7,kg,
2020-07-02 08:07:09,71.9,kg,
2020-07-03 00:07:58,71.6,kg,
2020-07-03 09:00:43,71.2,kg,
2020-07-05 21:18:52,71.5,kg,
2020-07-05 23:35:00,71.4,kg,
2020-07-20 01:20:16,71.2,kg,
2020-07-20 09:02:02,70.7,kg,
2020-07-22 02:26:14,71.3,kg,
2020-07-22 23:36:24,70.7,kg,
2020-07-23 08:22:30,70.4,kg,
2020-07-23 22:38:42,70.9,kg,
2020-07-24 09:03:45,70.5,kg,
2020-07-25 10:04:19,69.9,kg,
2020-07-25 23:42:39,70.4,kg,
2020-07-27 00:47:34,70.4,kg,
2020-07-27 08:43:24,69.9,kg,
2020-07-28 00:29:39,70.8,kg,
2020-07-28 09:00:19,70.2,kg,
2020-07-29 00:25:37,70.3,kg,
2020-07-31 06:35:47,70.2,kg,
2020-08-03 08:40:10,70.2,kg,
2020-08-05 06:15:12,70.3,kg,
2020-08-19 06:27:20,69.1,kg,
2020-11-03 09:01:36,72.4,kg,
2020-12-07 23:51:30,72.2,kg,
2020-12-09 00:21:35,73.0,kg,
2020-12-09 09:02:16,74.3,kg,
2020-12-15 08:35:16,72.7,kg,
2021-07-07 22:19:31,78.6,kg,
2021-07-08 00:11:58,74.4,kg,
2021-07-08 07:14:33,77.0,kg,
2021-07-08 07:14:53,77.0,kg,
2021-07-08 07:15:17,77.0,kg,
2021-07-09 03:23:38,78.4,kg,
2021-07-09 08:15:24,77.7,kg,
2021-07-09 08:15:57,77.7,kg,
2021-07-15 08:44:57,78.0,kg,
2021-07-16 09:03:55,77.6,kg,
2021-07-21 19:32:17,79.9,kg,
2021-07-21 23:48:39,79.2,kg,
2021-07-22 09:05:47,78.0,kg,
2021-07-23 00:35:30,78.2,kg,
2021-07-23 07:14:33,77.9,kg,
2021-07-26 07:54:40,78.3,kg,
2021-07-26 08:53:59,78.1,kg,
2021-07-28 09:01:41,78.3,kg,
2021-07-29 09:14:51,78.3,kg,
2021-08-02 08:07:09,77.6,kg,
2021-08-03 00:54:06,78.0,kg,
2021-08-03 07:26:40,77.8,kg,
2021-08-04 00:36:23,78.0,kg,
2021-08-04 08:32:06,77.5,kg,
2021-08-06 07:35:25,76.8,kg,
2021-08-06 09:07:32,76.3,kg,
2021-08-07 11:49:19,76.8,kg,
2021-08-09 08:45:20,76.9,kg,
2021-08-09 08:45:48,76.2,kg,
2021-08-11 09:07:22,76.9,kg,
2021-08-13 08:35:44,76.8,kg,
2021-08-17 00:55:39,77.4,kg,
2021-08-17 09:10:43,77.2,kg,
2021-08-18 00:03:40,77.4,kg,
2021-08-18 00:03:51,77.4,kg,
2021-08-18 06:43:56,77.1,kg,
2021-08-18 09:19:14,76.6,kg,
2021-08-19 09:05:14,76.9,kg,
2021-08-23 08:58:20,77.0,kg,
2021-11-05 08:20:52,78.0,kg,
2021-11-07 00:38:55,80.1,kg,
2021-11-07 23:50:32,78.6,kg,
2021-11-08 08:37:36,78.0,kg,
2021-11-08 08:37:56,78.0,kg,
2021-11-09 08:41:54,78.2,kg,
2021-11-09 08:42:41,77.6,kg,
2021-11-09 08:42:56,77.6,kg,
2021-11-09 08:43:08,77.2,kg,
2021-11-10 09:05:13,77.5,kg,
2021-11-10 09:05:35,77.0,kg,
2021-11-11 00:03:07,77.4,kg,
2021-11-11 08:37:55,76.7,kg,
2021-11-16 09:01:25,78.0,kg,
2021-11-17 07:55:16,77.6,kg,
2021-11-17 08:33:41,77.4,kg,
2021-11-17 08:34:07,77.0,kg,
2021-11-17 23:16:34,78.4,kg,
2021-12-03 07:43:18,76.8,kg,
2021-12-21 08:15:57,76.3,kg,
2021-12-21 23:24:35,78.8,kg,
2021-12-22 09:04:52,76.4,kg,
2021-12-22 23:06:26,77.0,kg,
2021-12-23 08:45:22,76.2,kg,
2021-12-23 23:14:24,77.0,kg,
2022-03-17 08:40:56,76.6,kg,
2022-03-18 08:54:23,76.0,kg,
2022-03-19 07:34:23,75.5,kg,
2022-03-19 13:35:00,75.5,kg,
2022-03-21 07:17:59,75.9,kg,
2022-03-21 08:35:41,75.0,kg,
2022-03-22 08:28:45,74.3,kg,
2022-03-22 22:11:47,76.6,kg,
2022-03-23 07:28:32,74.7,kg,
2022-03-24 08:51:33,74.6,kg,
2022-03-25 08:46:46,74.5,kg,
2022-03-28 09:06:28,74.7,kg,
2022-03-29 08:51:05,74.6,kg,
2022-03-30 08:56:58,75.0,kg,
2022-04-01 07:14:27,74.3,kg,
2022-04-02 07:32:59,74.4,kg,
2022-04-06 08:19:17,73.0,kg,
2022-04-07 07:12:05,73.2,kg,
2022-04-08 07:28:39,73.2,kg,
2022-04-14 07:11:42,73.2,kg,
2022-04-16 16:25:33,72.5,kg,
2022-04-17 07:39:18,71.7,kg,
2022-04-27 08:08:36,70.8,kg,
2022-05-11 07:27:49,70.1,kg,
2022-05-12 06:58:03,70.0,kg,
2022-05-12 06:59:01,70.0,kg,
2022-08-01 08:46:16,72.5,kg,
2022-08-02 00:03:56,73.1,kg,
2022-08-02 09:10:55,72.0,kg,
2022-08-02 23:26:56,72.2,kg,
2022-08-03 08:29:31,71.7,kg,
2022-08-03 09:09:49,71.4,kg,
2022-08-04 08:27:49,71.8,kg,
2022-08-04 23:57:04,72.3,kg,
2022-08-05 08:30:34,71.6,kg,
2022-08-08 09:10:27,72.2,kg,
2022-08-09 22:23:15,73.0,kg,
2022-08-10 09:15:02,71.1,kg,
2022-08-10 23:07:52,71.4,kg,
2022-08-11 08:30:06,71.1,kg,
2022-08-15 09:12:22,71.1,kg,
2022-08-16 00:02:31,71.9,kg,
2022-08-16 09:11:48,70.9,kg,
2022-08-18 09:19:22,71.3,kg,
2022-08-18 23:31:18,72.1,kg,
2022-08-29 08:57:51,71.3,kg,
2022-10-07 23:49:27,69.2,kg,
2022-10-08 07:11:52,69.1,kg,
2022-10-08 07:24:56,68.7,kg,
2022-10-08 22:25:54,69.9,kg,
2022-10-09 06:52:07,69.3,kg,
2022-10-09 07:08:27,69.1,kg,
2022-10-09 23:29:50,69.2,kg,
2022-10-09 23:40:11,69.2,kg,
2022-10-10 06:52:26,69.0,kg,
2022-10-12 07:23:18,67.8,kg,
2022-10-14 07:24:53,68.2,kg,
2022-10-20 08:36:52,69.4,kg,
2022-10-21 07:24:43,69.4,kg,
2022-10-23 23:07:55,70.2,kg,
2022-10-25 07:47:19,68.5,kg,
2022-10-25 23:43:46,69.2,kg,
2022-10-26 06:55:57,68.6,kg,
2022-10-27 09:11:35,68.1,kg,
2022-10-27 22:44:04,68.5,kg,
2022-10-28 07:53:32,67.7,kg,
2022-11-07 22:03:02,69.8,kg,
2022-11-08 22:55:01,69.4,kg,
2022-11-09 07:23:06,68.8,kg,
2022-11-09 23:07:04,69.1,kg,
2022-11-10 07:18:16,68.4,kg,
2022-11-10 22:36:59,68.4,kg,
2022-11-11 07:02:09,67.6,kg,
2022-11-19 18:54:49,72.7,kg,
2022-11-22 21:24:44,70.0,kg,
2022-11-23 06:37:17,69.9,kg,
2022-11-25 21:44:49,70.9,kg,
2022-11-27 09:01:58,68.8,kg,
2022-11-27 21:20:36,70.6,kg,
2022-11-30 07:20:12,69.0,kg,
2022-12-04 21:55:08,70.0,kg,
2022-12-05 07:02:20,68.7,kg,
2022-12-05 22:15:11,69.1,kg,
2022-12-06 07:22:30,68.0,kg,
2022-12-06 22:49:58,68.7,kg,
2022-12-07 07:00:59,68.6,kg,
2022-12-07 07:25:47,68.2,kg,
2022-12-07 20:26:35,68.8,kg,
2022-12-08 07:02:52,68.3,kg,
2022-12-09 07:03:02,69.2,kg,
2022-12-19 20:37:40,67.9,kg,
2022-12-21 07:27:56,67.5,kg,
2022-12-21 07:33:13,66.7,kg,
2022-12-21 20:45:23,68.2,kg,
2022-12-22 07:09:00,67.9,kg,
2022-12-22 21:10:30,67.6,kg,
2022-12-23 07:31:35,67.3,kg,
2022-12-25 18:11:39,68.1,kg,
2023-01-29 21:46:00,57.9,kg,
2023-01-29 21:46:35,70.9,kg,
2023-03-11 21:34:46,72.6,kg,
2023-03-12 08:20:43,70.8,kg,
2023-03-12 21:40:22,72.9,kg,
2023-03-13 23:03:28,71.3,kg,
2023-03-14 22:23:39,71.8,kg,
2023-03-15 23:36:37,71.6,kg,
2023-03-28 05:53:48,71.7,kg,
2023-03-28 21:57:54,71.5,kg,
2023-03-30 05:57:52,70.8,kg,
2023-03-31 06:14:34,71.0,kg,
2023-04-01 07:18:43,71.2,kg,
2023-04-02 21:37:42,72.7,kg,
2023-04-03 06:22:20,71.0,kg,
2023-04-04 21:40:43,70.8,kg,
2023-04-05 06:58:21,70.5,kg,
2023-04-06 06:10:07,70.8,kg,
2023-04-07 05:58:12,71.1,kg,
2023-04-08 07:30:47,70.0,kg,
2023-04-10 06:07:32,70.0,kg,
2023-04-11 21:31:57,70.1,kg,
2023-04-12 06:03:29,69.9,kg,
2023-04-12 06:10:50,69.4,kg,
2023-04-14 06:13:39,68.6,kg,
2023-04-14 22:18:02,68.5,kg,
2023-04-16 07:33:56,67.9,kg,
2023-04-17 06:15:11,68.4,kg,
2023-04-18 06:10:33,67.7,kg,
2023-04-18 21:49:34,68.0,kg,
2023-04-19 06:09:06,67.4,kg,
2023-04-19 22:11:29,67.7,kg,
2023-04-20 06:06:58,67.1,kg,
2023-04-21 06:13:11,67.0,kg,
2023-04-24 06:15:07,66.9,kg,
2023-04-24 22:08:49,67.0,kg,
2023-04-25 06:24:59,66.6,kg,
2023-04-26 06:08:39,66.1,kg,
2023-04-26 23:09:42,66.1,kg,
2023-04-27 06:07:04,65.8,kg,
2023-04-27 21:19:35,65.8,kg,
2023-04-28 06:03:36,65.8,kg,
2023-04-28 06:13:03,65.5,kg,
2023-05-03 22:39:40,67.9,kg,
2023-05-04 06:20:57,67.1,kg,
2023-05-04 21:56:23,67.5,kg,
2023-05-04 21:56:49,67.5,kg,
2023-05-05 06:17:02,66.8,kg,
2023-05-05 22:40:13,67.3,kg,
2023-05-06 06:19:15,66.8,kg,
2023-05-06 06:19:44,66.8,kg,
2023-05-07 21:58:05,69.5,kg,
2023-05-08 06:16:34,67.9,kg,
2023-05-09 06:15:05,67.2,kg,
2023-05-09 22:15:37,67.3,kg,
2023-05-10 06:14:08,66.4,kg,
2023-05-10 21:57:36,66.6,kg,
2023-05-10 21:58:27,66.6,kg,
2023-05-11 06:13:51,65.9,kg,
2023-05-11 22:17:35,65.7,kg,
2023-05-12 06:19:19,65.2,kg,
2023-05-15 17:00:52,66.7,kg,
2023-05-15 21:34:47,67.7,kg,
2023-05-16 06:12:54,66.5,kg,
2023-05-17 06:15:12,66.8,kg,
2023-05-17 21:27:10,66.1,kg,
2023-05-18 06:14:42,65.4,kg,
2023-05-18 21:56:40,65.8,kg,
2023-05-19 06:20:26,65.0,kg,
2023-05-20 06:30:49,65.8,kg,
2023-05-21 22:59:44,67.2,kg,
2023-05-22 06:20:17,66.4,kg,
2023-05-23 06:18:35,66.2,kg,
2023-05-24 21:55:06,65.5,kg,
2023-05-25 06:18:48,65.2,kg,
2023-05-25 06:19:17,64.8,kg,
2023-05-26 06:12:47,65.2,kg,
2023-05-29 21:52:41,66.6,kg,
2023-05-30 06:17:38,65.7,kg,
2023-05-30 22:41:28,66.3,kg,
2023-05-31 06:16:23,65.7,kg,
2023-06-01 06:14:42,66.7,kg,
2023-06-02 06:11:55,66.1,kg,
2023-06-08 06:15:44,65.9,kg,
2023-06-09 06:12:00,65.5,kg,
2023-07-03 22:12:32,68.1,kg,
2023-07-04 06:18:42,66.8,kg,
2023-07-04 22:01:52,67.1,kg,
2023-07-05 06:21:20,66.1,kg,
2023-07-05 22:13:02,66.9,kg,
2023-07-06 06:28:30,65.9,kg,
2023-07-06 22:05:02,66.7,kg,
2023-07-07 06:03:43,66.1,kg,
2023-07-10 06:11:42,67.0,kg,
2023-07-10 22:02:39,66.5,kg,
2023-07-11 06:09:54,65.8,kg,
2023-07-12 06:16:22,66.0,kg,
2023-07-13 06:22:11,66.1,kg,
2023-07-14 06:25:14,66.1,kg,
2023-07-17 06:24:47,67.1,kg,
2023-07-18 06:18:04,66.4,kg,
2023-07-18 22:45:59,67.1,kg,
2023-07-19 06:20:17,65.6,kg,
2023-07-19 22:35:06,67.0,kg,
2023-07-20 06:25:41,66.2,kg,
2023-07-21 06:21:26,66.7,kg,
2023-07-24 06:08:30,66.3,kg,
2023-07-26 06:25:33,66.1,kg,
2023-07-27 06:16:01,66.4,kg,
2023-07-28 06:10:15,65.9,kg,
2023-07-31 06:14:12,67.9,kg,
2023-08-01 06:16:38,67.7,kg,
2023-08-02 06:15:48,67.5,kg,
2023-10-30 21:21:00,73.8,kg,
2023-10-30 21:22:00,73.8,kg,
2023-10-30 21:37:00,73.8,kg,
2023-10-30 21:52:00,73.4,kg,
2023-10-31 06:20:00,72.7,kg,
2023-10-31 16:42:00,72.8,kg,
2023-10-31 22:34:00,73.7,kg,
2023-11-01 06:16:00,72.8,kg,
2023-11-01 19:08:00,72.9,kg,
2023-11-01 20:39:00,72.5,kg,
2023-11-02 05:55:00,72.1,kg,
2023-11-02 20:56:00,72.6,kg,
2023-11-03 06:04:00,72.5,kg,
2023-11-03 06:17:00,72.1,kg,
2023-11-04 06:40:00,71.6,kg,
2023-11-05 21:49:00,72.4,kg,
2023-11-06 06:06:00,72.1,kg,
2023-11-06 06:20:00,71.6,kg,
2023-11-06 21:49:00,72.1,kg,
2023-11-07 06:15:00,71.4,kg,
2023-11-07 06:16:00,71.4,kg,
2023-11-07 20:01:00,71.8,kg,
2023-11-08 06:03:00,71.6,kg,
2023-11-08 06:14:00,71.0,kg,
2023-11-08 06:19:00,70.9,kg,
2023-11-08 21:11:00,71.4,kg,
2023-11-09 06:16:00,70.8,kg,
2023-11-09 06:17:00,70.8,kg,
2023-11-10 06:02:00,71.5,kg,
2023-11-10 06:15:00,70.8,kg,
2023-11-11 09:20:00,71.1,kg,
2023-11-13 06:16:00,71.8,kg,
2023-11-13 21:23:00,72.4,kg,
2023-11-13 21:25:00,72.3,kg,
2023-11-14 06:06:00,71.7,kg,
2023-11-14 06:13:00,71.5,kg,
2023-11-14 21:34:00,72.3,kg,
2023-11-15 06:15:00,71.1,kg,
2023-11-17 06:14:00,71.6,kg,
2023-11-21 06:18:00,71.4,kg,
2023-11-28 06:23:00,72.3,kg,
2023-11-29 06:15:00,71.8,kg,
2023-11-30 06:13:00,71.6,kg,
2023-12-01 06:18:00,72.4,kg,
2023-12-03 06:44:00,71.6,kg,
2023-12-03 06:52:00,71.6,kg,
2023-12-04 06:18:00,71.5,kg,
2023-12-04 22:02:00,71.2,kg,
2023-12-04 22:03:00,71.2,kg,
2023-12-05 06:07:00,70.9,kg,
2023-12-05 06:08:00,70.9,kg,
2023-12-05 06:16:00,70.4,kg,
2023-12-05 21:41:00,71.5,kg,
2023-12-05 22:40:00,70.7,kg,
2023-12-06 22:23:00,71.2,kg,
2023-12-07 06:08:00,70.3,kg,
2023-12-07 06:20:00,69.8,kg,
2023-12-07 22:05:00,71.0,kg,
2023-12-11 06:08:00,69.3,kg,
2023-12-11 22:24:00,69.8,kg,
2023-12-12 06:15:00,69.2,kg,
2023-12-12 22:58:00,69.5,kg,
2023-12-13 06:08:00,69.2,kg,
2023-12-13 06:18:00,69.0,kg,
2023-12-14 06:07:00,70.0,kg,
2023-12-14 06:19:00,69.4,kg,
2023-12-15 06:17:00,69.8,kg,
2023-12-20 06:08:00,69.0,kg,
2023-12-21 06:15:00,68.5,kg,
2023-12-25 06:25:00,69.0,kg,
2023-12-25 21:41:00,68.9,kg,
2023-12-26 06:17:00,68.2,kg,
2023-12-26 21:39:00,68.4,kg,
2023-12-27 06:17:00,67.6,kg,
2023-12-28 06:16:00,67.3,kg,
2024-01-06 08:34:00,67.2,kg,
2024-01-06 09:09:00,67.0,kg,
2024-02-18 06:10:00,69.9,kg,
2024-04-16 05:56:00,69.6,kg,
2024-04-16 21:08:00,69.5,kg,
2024-04-17 06:20:00,68.3,kg,
2024-04-25 21:56:00,70.3,kg,
2024-06-11 21:22:18,70.9,kg,
2024-06-11 22:52:18,70.9,kg,
2024-06-12 06:05:18,70.8,kg,
2024-06-12 06:17:18,70.3,kg,
2024-06-12 20:32:34,70.5,kg,
2024-06-13 05:46:34,70.2,kg,
2024-06-13 06:09:34,69.9,kg,
2024-06-13 06:10:34,69.9,kg,
2024-07-01 20:50:22,70.9,kg,
2024-07-01 20:51:22,70.9,kg,
2024-07-02 05:46:22,70.8,kg,
2024-07-02 06:05:44,70.4,kg,
2024-07-03 20:59:47,71.5,kg,
2024-07-04 06:04:47,70.5,kg,
2024-07-08 21:41:02,70.3,kg,
2024-07-09 06:15:02,70.1,kg,
2024-07-09 20:37:21,72.0,kg,
2024-07-09 23:43:21,71.2,kg,
2024-07-10 06:15:21,70.8,kg,
2024-07-11 06:13:49,71.0,kg,
2024-07-18 06:11:01,69.2,kg,
2024-07-21 21:17:08,71.0,kg,
2024-07-22 06:18:29,70.1,kg,
2024-07-22 06:22:29,70.3,kg,
2024-07-22 22:45:29,72.0,kg,
2024-07-24 06:22:14,71.5,kg,
2024-07-25 05:57:14,69.8,kg,
2024-07-29 21:03:07,69.9,kg,
2024-07-30 06:13:07,69.4,kg,
2024-07-31 06:22:42,69.7,kg,
2024-08-07 06:21:22,71.1,kg,
2024-08-08 06:23:19,71.4,kg,
2024-09-09 07:09:18,69.1,kg,
2024-09-09 08:53:42,70.7,kg,
2024-09-11 07:22:45,70.6,kg,
2024-09-13 07:23:07,70.3,kg,
2025-01-03 13:21:28,70.0,kg,